,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,203.000 ₫,-25%,1138,5000+,4.7,479129,1,4.8
1,113.000 ₫,-11%,1271,5000+,4.7,479129,1,4.8
2,39.000 ₫,-48%,521,5000+,4.5,3276,7,4.5
3,170.000 ₫,-25%,1622,5000+,4.7,479129,1,4.8
4,0,0,350,1564,0.0,0,0,4.7
5,69.000 ₫,-42%,614,2687,4.5,3276,8,4.5
6,16.800 ₫,0,41,606,4.6,362,0,4.4
7,62.000 ₫,0,9,175,4.7,794,1,3.9
8,92.000 ₫,-16%,142,849,4.7,581,4,0
9,189.000 ₫,-21%,89,489,4.7,479129,1,4.8
10,122.000 ₫,-32%,269,1927,4.8,277,1,4.9
11,125.000 ₫,0,205,1398,4.7,739,1,4.7
12,362.000 ₫,-10%,1287,5000+,4.8,5222,2,4.8
13,63.000 ₫,-15%,23,199,4.7,479129,1,5
14,86.000 ₫,-22%,352,2034,4.6,3379,2,4.7
15,149.000 ₫,0,246,1589,4.8,144,2,0
