,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,2.950.000 ₫,-8%,42,365,4.7,284,2,0
1,899.000 ₫,-47%,21,57,4.6,1740,2,0
2,25.490.000 ₫,-18%,232,854,4.7,479232,2,0
3,0,0,21,52,4.7,479232,2,0
4,5.990.000 ₫,-14%,9,42,4.7,5120,8,0
5,5.769.000 ₫,-14%,11,30,4.7,479232,2,5
6,3.399.000 ₫,0,17,33,4.4,307,2,4.9
7,568.000 ₫,0,32,169,4.9,24,1,4.7
8,3.050.000 ₫,-24%,102,261,4.7,503,2,4.9
9,3.050.000 ₫,-24%,102,261,4.7,503,2,4.9
10,4.190.000 ₫,0,0,0,4.4,1024,2,0
11,0,0,27,364,4.7,479232,2,5
12,699.000 ₫,-7%,11,28,4.6,1740,1,3.5
13,21.990.000 ₫,-12%,106,398,4.7,479232,2,0
14,0,0,17,54,4.7,479232,2,4.9
15,420.000 ₫,0,9,40,3.9,37,1,4.9
16,0,0,27,80,0.0,0,0,4.9
17,15.250.000 ₫,-10%,1248,2694,0.0,0,0,0
18,3.419.000 ₫,-27%,16,50,4.7,5120,8,5
19,710.000 ₫,0,6,29,4.7,1331,4,4.8
20,0,0,7,39,4.7,479232,2,5
21,0,-24%,8,24,4.9,24,1,5
22,3.790.000 ₫,0,260,5000+,4.7,479232,2,0
23,4.890.000 ₫,-18%,10,32,4.7,479232,2,4.9
24,7.510.000 ₫,-12%,20,43,4.8,2969,2,5
25,3.190.000 ₫,-20%,6,20,4.8,6860,6,5
26,3.990.000 ₫,-11%,3,8,4.7,284,2,5
27,13.440.000 ₫,-4%,0,0,4.7,359,2,0
28,1.650.000 ₫,-8%,11,52,4.7,479232,2,0
29,0,0,11,24,4.7,479232,2,4.7
30,275.500 ₫,-5%,99,631,0.0,0,0,0
31,890.000 ₫,-6%,92,287,4.7,479232,2,4.5
32,12.650.000 ₫,-16%,141,291,4.7,479232,2,0
33,0,0,26,65,4.7,479232,2,0
34,2.850.000 ₫,-13%,4,46,4.7,479232,2,5
35,3.050.000 ₫,-17%,104,341,4.7,503,2,0
36,1.975.000 ₫,0,22,81,4.4,307,2,0
