,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,299.999 ₫,-30%,4,11,4.6,26,2,4.8
1,48.000 ₫,-4%,8,112,4.9,522,3,4.8
2,335.000 ₫,-26%,835,5000+,4.7,479129,1,4.8
3,170.000 ₫,-25%,275,2295,4.7,479129,1,4.9
4,208.000 ₫,-23%,1332,5000+,4.7,479129,1,4.8
5,200.000 ₫,-26%,632,3076,4.7,479129,1,4.9
6,63.000 ₫,-15%,61,628,4.7,479129,1,5
7,155.610 ₫,-10%,159,795,4.6,647,12,4.8
8,67.000 ₫,-14%,380,3534,4.7,479129,1,4.7
9,408.000 ₫,-25%,76,516,4.7,479129,1,4.8
10,66.000 ₫,-11%,31,458,4.7,479129,1,5
11,225.000 ₫,0,175,832,4.4,333,2,4.5
12,362.000 ₫,-10%,1217,5000+,4.8,5222,2,4.8
