,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,89.000 ₫,0,3,32,4.5,67,3,5
1,922.000 ₫,-3%,1,7,4.7,479129,2,0
2,459.000 ₫,-2%,58,966,4.7,479129,1,4.7
3,86.000 ₫,0,0,0,0.0,0,1,0
4,19.000 ₫,-17%,1,37,4.3,2457,4,0
5,360.000 ₫,-8%,1,4,4.9,22,1,0
6,249.000 ₫,-33%,10,43,4.3,2457,5,0
7,499.000 ₫,0,0,0,0.0,0,1,0
8,480.000 ₫,0,0,2,4.7,1331,4,0
9,235.000 ₫,0,469,2322,4.7,72,1,4.6
10,114.000 ₫,0,15,107,4.3,2457,5,0
11,499.000 ₫,0,3,10,4.7,3072,3,5
12,549.000 ₫,0,4,35,4.4,2764,4,4
13,1.339.000 ₫,0,0,0,4.8,931,2,0
14,299.000 ₫,0,0,0,0.0,0,1,0
15,310.000 ₫,0,0,0,4.7,597,3,0
16,1.320.000 ₫,0,3,15,4.8,507,5,0
17,360.000 ₫,0,6,18,4.9,7,1,5
18,140.000 ₫,0,0,0,4.4,178,1,0
19,538.000 ₫,0,0,1,4.5,22,1,5
20,228.690 ₫,-1%,2,8,4.4,21,1,0
21,235.000 ₫,0,0,7,4.8,931,1,4.7
22,585.000 ₫,0,0,0,0.0,0,0,0
23,360.000 ₫,-10%,3,5,5.0,5,1,5
24,215.000 ₫,0,1,11,4.8,931,1,4.5
25,349.000 ₫,-10%,14,82,4.7,437,3,0
26,275.000 ₫,-5%,0,0,4.9,4,1,4.6
27,130.000 ₫,0,0,0,5.0,5,1,4.9
28,92.000 ₫,-2%,12,82,4.8,4096,2,0
29,45.000 ₫,0,1,0,5.0,0,1,5
30,295.000 ₫,0,16,93,4.3,2457,5,4.3
31,559.400 ₫,0,0,0,4.5,178,2,0
32,600.000 ₫,0,0,1,4.7,32,1,0
33,240.000 ₫,0,0,0,4.5,3,1,0
34,888.000 ₫,0,14,104,4.5,220,4,5
35,1.030.000 ₫,0,3,10,4.8,931,2,4.1
36,272.000 ₫,-15%,7,44,4.5,60,1,4.6
37,169.999 ₫,0,2,6,4.3,2457,2,0
38,22.000 ₫,-35%,0,0,4.8,931,4,5
39,325.000 ₫,0,1,1,4.7,17,1,4
40,639.000 ₫,0,18,51,4.7,657,3,4.9
41,335.000 ₫,0,0,13,4.3,2457,4,0
42,165.000 ₫,0,0,2,3.3,0,1,4
43,14.000 ₫,0,1,1,4.8,931,1,0
44,1.299.000 ₫,-5%,0,0,4.9,24,4,0
45,357.000 ₫,0,8,21,4.8,11,1,0
46,195.000 ₫,-40%,16,61,4.7,1331,5,5
47,86.000 ₫,0,17,74,4.6,1126,2,4.8
48,336.000 ₫,-13%,0,0,4.4,65,1,0
