link_item,price,discount_rate
https://tka.tiki.vn/pixel/pixel?data=M3RqoWUCGMLdSWcNMdaaQoktZtqalL4XeWYPqlZtagNixD1ztQfPOtVU5fhXZY1IQtkjh9nnA33iDHsSSfSBg2lXiKU3rCxjcSC18rgFe-vwamOVpRyU33bcWvc9kfy2679Zq_yqXi7kohg_sADDUaecjKK0Dh_4oOTap8Xcehs2lBCHr5uC62-Cvl4DLC_CtqO3ArL7-BWcjvFaznYC69s-PLn5bRGIv4DjXO1W_DcHXm7PBaE0vo1bbEt_N4IFgiebGnjSepanW6AB79UNn26fndeEXBsKLZc0QW5DSXWoMnNjzONElcnUSTUu-I4cKUYtBMCWfroqob6CEy2GToAulyrOHPxZLzT0nwivGUvab-Wm_9SelCKp0Yf_ny_ICP-QFnJJuiADMsk0Z-M-Ie4er29tupI5T_bBZA-SzjIVBPzSXz37xAC9xxLJSEDPKkdDJ9QzqqLAd8FIojST_V98C2d_IccwV3pOY4x1_SdSZgOBpf6Sfsea_phOAwIyV6GyM6xxZcQL6pEzyFBqZ01g6o6n3a-Vn3pSHOUsRZ-wU93xInRJANb7wa4VBCE_SwVWgIPGQhcby5E6ll2S57Q90bn_yMVSgy4V3u7OvFGL1ucPfRGpFnsVwHtmpUFJnLJSSytYsbAHUjqk_SZ4kSG9QeXhMAheHuca4tn_TpoXHcPRwwI-D3jqtPLAd-hdu6whYUBES9yoy-8CUGk2HI166j-4c4VupBQS7otKDKiNxASw2JWjgHya4SwaI9vt4YIUqxMZOG-ZV5z5A9E5_vu76oQLU_znK1U0sh1UV1kgcrBQbLdccPly8nJkgbM0A-dZEaImRY_trXC8E7Gv6BIswl8NHRFipMPN4jF_Vtm9lTep3k6YkQqGpIvWZKgahonSr6f-UkbJ2oYmUYI6uxGmRFUxvh7YUmazC5uhn7Q-td_U2XMxCSTBkRfBT8SRY4IVQYvt-rGu_mKCeIgrCCEufNEYTdvDAuyS6b2Zk_B-q4YA5mfX9IBvRzkQ_Dv3zfzUcOQdgqrY3_gS3gZyf0EL3nZxpv3Rku2FLeGM-WZOe67ZdWFKVT7U368NvkGW4yi__NhR7NtcU_5izVS63lOLX4CtumPf-Xa1FiEN1yc5KhYCQi0tMkMpVYxcQJ1sucSVppLu3NtfaZ8pWswzBJpUb0pJzYm2jx9Ph6HWQ49IRizgMmBU5hnOEm8B7YAesk2c1NmIP-PyQfXMg2m54KiCPqt0KptOHF5_PCjq0Hb_Cw9xMTvgG22qKemUXKd_jc1G-Aw9Ep57NSupsbPNRQDxJdhA1Uvs6sLPeXTWGAXbWkYpUHxB7-M3H4iIMsDqwlmHekxjK3v0BBSiKapgfMrjVp1QW-Ob7lr5vW9FtnnnO9xjwF3Hi_ONdEYvG3t2Tfh5qNpZpMM_fFMuTljIqjWPp2FsfRQxNkApfFNZv5DUDAtF1F6lxSsvuzDGy6xcdhjXayOe4f9fCjNoKWUoEuy-0asfUf-QyNmeCgfb_1FvLENMeYBIXyyjRDWs1kNXyeHt6Wo1uogmSNGMPHAfCedY6tRMN4O93o4AimQZIauXq1TTyq84ZLQx0oCvTBV2hL9LyJfeV_P0S-dcBGK18MKpzUfaQcW4gfvOvfvL84XedrNjn7o9hT8gpr5qWpyJXArDP2lcfKbaFbVvtnCD3q5tqezmC5YkON-O0OFEu8hJKN5rNKFzfM6LJ7zZdw&pos=1&reqid=kb9dMIn2GnLjrF9r&type=CLICK,91.290 ₫,-49%
https://tka.tiki.vn/pixel/pixel?data=mSPFSdMBHgIyvO-Lu5uLWc3_DHY6p6e5M08V2m8UrGAjlzpNM5ahryy4jINA61dKt-4QvVSt8lQwHg3yMZrYqWWKX55mlfryChYqwLcU76RpraqR5UB5e81-SQfOttlrSy9xe0wbt4NMQ9T1Qg3VMWhBS2Ef1563P4SIDzOQpeVbOOQ6_lZWUB_lPSEIw_C22zRiAbdM5x2OfOMV05g5b26soVmrpiSaj8zya91xCX_pQYHGJAbuTynPNayxy8kfiqdwuMJ1lFaZXNdDShgdp25BkzGHDN-wMSGmemMFtZ4nodw60VsE4hyiL1G49hh1A2AqQ9DUbHxxDSSTJwElEwtsefGmlEkMiS6Bxl-BaxfCkPQH3v1Ij2HF4GujqohS_1rYeNuE7pciu3DS1JPwXSLtfKvkIbUJWZ6ApTSLwJYuzl2BBAi5xbXi5yJ-Bax5ZVJVwQhLu-ZqgTx_nQABHffLvtXZJ26ZNvNVE-CX0Vq5ZeH4WpKPG_X-gT6TNUuKwF7CINamM5tOvlzb6Ia7TNmyssw1cIMqVeHIDdj_0_SbFsmbyuQ53mu4maDvhh9WIM84PieZwrn80nIzHLqpqEzKiIRuXpCuBtkIA-GMmq7FxyOG50d4wui5ocW2C0ZE9GdxOHXOAYhdsdgofjBbb1fdgPbOfP4evG511K85oCCdE79GifCQgt_qjBMRqR_B10UX8JbWz7stGwKGqWCv-ZF4z6RvrCYmUdyL9pjT-xcROViYPvNX_KTvs_lQeTZA73DeYGWajABduNa25toJW-fsVeqxF1fN8BzCOz0MrJ6zkXBjlgOwj2W9Y7lZOQ719WG3Uc7fa2Td1rVI2LiHXI1-Y9p0ord_ushznlvlAKQcabZu6hEen_b9XNlfBAgQ8BwysN2RZkcukOELl4ZFF8LM_KDAV2UANfVFrS_Eb5gDRCa8XCfEIec0T3iM6_uqHf3Ek0Y9s-KyvRF9wj9btB5FrjIAC9VF4f3ll3PBx5AZuBwAT2U5TBRPmnmYOjGpljjbnnvi2fT6vaZq-aNME1bwu7pXWID1P0bNbU9r9EkLvtD3vP1QUBBNS2onft7XZAofD5LrnEhMJ8GWZeexoItegS7I3NiblJiHPSWaTXkiBPaYuuLFEadqXeD6-S7bAzNPYVZVMfzGlu7pob0e8Udf9kileKJzm8kr9Mv7x3r5CSLMgeiCnD1-XSUwTDLj_Ulh_9hj8t1hta2m3R7eDYLYi3Bn0HKyBPqbM98FrZ4YDjMAzOm8MaOWfDXzo35ZfzfLfBGZp8m584EnDoLdUawzqa1bXNNe1fyGMQY6ksYoFC-hFg3IayWUGdRWWX4pi6k8JjIrEsnXorOiC-YEaVTF9SYPPEyRr_DwdY9EWhi-fVb1hBVu6qdWsXEbOkq9BUrAIgIbde-LSwL9QIZOaAkEBY7vNqk5tJMxLP5T3JlFrY8OG3KyUJubvwFEskEPHlvoSVaC3t8Cjr6YEQY1Yo5L9FYFLQKd1lemNlZfXPlsdDBDJl1wkUPSb6OBoS-qmdANJoz7byNwH_kLyMs6lM4CQY2RHTl0Y8UR7b81qjFuqUdJMDH92STf2UFzATVtB25PpSlFwx_NRzqnjugB9qYGohZ7lOzrw7uwemkWKKTZeQeF6DGOZFflMBx1_UpV6rujEZ80yGKt77kHGXMrgi-gV47C6hn2m5abmCxmlsJk9_fzwZz7yOBc6J5eYBUq6QKey0D0ovdVh93Bs1H_9sMBAR8wgeA&pos=2&reqid=kb9dMIn2GnLjrF9r&type=CLICK,64.350 ₫,-35%
https://tka.tiki.vn/pixel/pixel?data=coe__HG9HwCMBPcafmAzD_syLPJb3BTu9dzcI9d9GWIMxqtV9wZ6u_XOWSmMqO1aPqnnZXiexespVoskrgBZnMtxCq-lkRadl6y9nD4PtJDhz32OM-hqApMH0RkmRLPRmo37EMJ_cNQa8cEdLh_gFdmjBdx5vrAimVfyWWLvKulPPUJ65mrf6KIj3lhaJHE6mmy3G1WAa3fGri2YT8cxCMgwOY1Mw8i9AhnuNBBvIxm6KhmGYkRI87BHkTWiYUh_ElfKRPFCFIZNPWZbqYP_8qt19pRljcz_B3Xh1c5GaQ44tGtVm-cUDReQ1pixm0VjpVfv7bPFdpoUBELIq1y6r3Rk5LdAJWdKhVCAH1PuQf92iDoNzg9mbmBX5Ch566Xqsj3L_4E-zqA0uo6HNHO4k1mbEASOtww27sj1UTzui8OBTw8k1zX-AhOBxQmwhwnMaDuX7iIc_NdTW6ckIosmL53BcSNo8hIuUmOATG6dJXbC1ZqollcR5jJlm-nxyuQ1OQTbJLqyv74cI6ALjn7ntKYeWKgiPX74oSINTOwdCBHMwRd5QB3p-XOp1s2ZzCSMoJoSgYIyi6p3KJHqlB_Z_fsohfbHIF_5H-esa7iDLbtFh1Ela79hSDKeDtlochlBdwspyf4ts9dmHdYdaaltvAP8jSXt3y4bAX8L7sJObacfk6bncqI232Oh8fRoQ1lZE3q1mfxFpbZbJaXFxR2KFCKz9WkIJCfUEwJjevozmg4mRgiJ2ckh9FEY7nFGKBLk2oaNVkr-Y7SMb6saQRM1eXJDrBNf2ZAff2wyqJbhAZLcglBX_lXvRe8j3jtFzWE8l2i7mtUHeO_TyiLBiIPa9MG3YQHvDpSLVs2mv0OEjWO1JS4gBBmYIZxoso22NeiKsIpUUS-rMXgekDTy3FhpqHWNqO-H9vvpw0oUVZ4rU9gPqqrRsjKKvsZ8l9-1MxBgDL9GvuhChAiXs4QonJCEaLvi_FLI4lBGTQ_wIfmshz7A1ST45ALwY2Lajh_X5VeB8G10jWDgRFVWMkzuKmN9xJjhMCmJFkqdkz2ULSWtber6MUwOkSbX0rSQ_hFoyeOFr8_uUcLyLE13PIZqYWobaUmX1dZzyJDaL74NpbyYGKmopj6t1IFmYuXawAU6vNlIIjeOWwJ2wXtR3mauZRin4pSI28hfLIBThle7FZxOewz8Q48GsUAq8ynbt3oDwN-lwigBriy-I3_cOxQCYriQYYWxwdBHWWx6yXu9aKkXkFnsvaYH_ALg5nFOlmXm46V9XA5gYvhPaeIWijXR6po3onVzruLZSNobH0kZgZD3RrYlv9FGlpn0U_aspVPByFejy-5Jm2rfTM9moKu4qkoJejJ7evZfdUfi02oyj-xttsnzUmMQjVofheowOxSUAswR9WLSCKY4mj65EPcTC4ozofhqmw9tfFNY7d0zDJzBTdWny2wGFdjRUTCxAsI0rV9GSm1OwN3r0xb19rjduy0uZhDpy6vSSM68sgfkEeWc-lBkG1ic2FRI6DYXujMzWz9SJwSeEebnWecAinZljWUxo0dJ1EdwDIcXSQRVtPvS5akbjGuHT9_9PRU4OV5g4UyWJ3BD7MOOX-HdjN1RgQ-c7U87HzPQjprgH-j1FcDZT-bDgZj0j5LZcU535Q834dlCJgUJ3btRhUSc3Q18Qi3zusD_Xqvqc6glC-6tpjPXpSbPCubEi3LhCAOh3JYbBAHiXqAB6UTjxjE1QRYfIbd83O1Mk4j5XAImlf9itiJk2XX_1Kc&pos=3&reqid=kb9dMIn2GnLjrF9r&type=CLICK,56.100 ₫,-15%
https://tka.tiki.vn/pixel/pixel?data=XmrhOs0_NbBre3wbsaJKGAiBphh10uSJ8BbIDvHvyogTMB_7adji_qXwkbmHM4o2NbaMkjViazwmYJggOUhm4BmQXq81RZ1aoacpmt-2IHzd6ZJJjcH8QHUo2U77hxmcgS3woZHxBD4A7Aoi2pRCOxC1MR3dRMoFHmaE37eJgEPXr3M5hEuO7YuCRvpm0vS5stqumHNa9XrFpusXFIoeQw0UqWPuKTRcf6LcEPPw8J0lz8eDFH3soBSWUThEvwlWIpSWLjXjLLxFqmp9rLmw3NZeff1qT4ZhRUuBslMIRHzyjYcHGI2aO9hz1cy5YPBIOwHBiJ4rvu1-cx59JBMKu_j7d_5z2DItXkbKtAx3OT5ZS3ReTxi_Rann1o5_dJ1EUHN-Wvk9-9DUdoa1Gxn_7tNM2LZZJbkJCTEo941LOy6_xmtBSNf3CZbNU5OUggacqgb_xGzS1bsMefAAwJONtvYcUBSXniekBBHbP2KPjowx2n-Ra7mtgc4nUsqdEMvg7t1Q7TkFj7OCvqME0SfN5TOLdBIKKu8qwslHyR_47R-RbWwtJ102R8Asm2A3pCJHysE_sYsnsYk2ihCHL0ktjKLFYtr3hsGMtZ0UW2kxeHsTTdH-Yu52I1a-ToQGDeJ9I853DzexFt5BlOVO8VqY4KoBrYT-AM9R27XLnGBy13EV3aDSjKac7JsoaHTOdMqbBelCkpWpEJ797iIgcicTe1Lv1RBV5TXQO8WReuQ9no3OfF3dq6tNVNgU6cjcxMeCZ2SBv3qRRz9HuJ2778j0WfyiC3tHiS5CprU_i8pr9nVJ8-Qlh7tWnW9NiTlIp4rF-I5FO1wQJckC4gKfbxpDosEe0V-tR3il6EWKg3a8xTnivTGgSAP8_YBnYklyDj7i9925Gtq3qIHONEIusrUqnDDAEcBMeMBLpAbMBxNzdYCQl7rOw7LcU5PJIU-NzB22SMGn5mpLNlNRP-FWHtTM9vk8I_v9bj2aqtoIUcA2WDKg7s0ZdDZ1Ihhvfw6va5pze9GfYo1JIK7LbxrmCI8Vc5NJVUXFMnAE3_eTNdKFN_LFPQWqPlDD8VIjy_3sfv2amiErtLhuxqcTEK9BOfBmZYD794eszt5b9RIr3m8hNAUvvqXLAC1fF206ZYg6WigrjeUfWXF4rCX9ch91IL92DsexD49Q7auI1bPNsYLTBWQEV2yYJPUT9HR9KgsvS90l1793t_LVtiSfrAtY0zLIZiyKPL4MiRrpG0S_h30uSDSWxCbmN_m8bWZpJd2kbEJZObcFL4uB6lHZMgOCLRTvRPutWlqFCwd0NvcQUfpwxG7qaHX7_lbZKUHVcha8PSJUmj9rcliYYdUd-RoePQfGdX0Aqo45brOe_jg92BID4fcCRc-c_F59p6d0yVNG_fsDEfWNFXQViq6WAV4zJhAZWh97enwC46NoVUhgwA1FcHUcONevaMs0oacDY7BctsZ6CnYyFOtTR53Klj1aLimaBrNqHv-oAv5_ZJfHWS_NtXeRrvafTLijd9ajU3OcU758ZtNmIAcFA6Y8Tifbf1eofiE8BueuU-CmfPszlTCgCql38lj2GWRdzgWBfmQ4wmb_EfW_uHAT6ChBQXqpk8UQR1RMEiF_HwSHcNR9f2Kp377_33PRA4eDye7yOGA6VAiZ4mq0qjMizVcOoIbCm_y71YTfMFYSn4_OKUN2dki-ECKzwcrBmoZie9lk-MGA3El8_D6QzRAJq4EZWi4&pos=4&reqid=kb9dMIn2GnLjrF9r&type=CLICK,79.000 ₫,
https://tka.tiki.vn/pixel/pixel?data=1vFZ9r6fZ9uP3zLqacm_syw7wRr6GrebkFMz87KvFyT6k3ZPZSXJbySVM1YEdlbqYQVZo9sWSAJtboAUtrv353dEpYC1DMaylXYRwOWvl8RKzVaDYNPXFhYoofAiqCz28_J2lOw_i8aNpEecprHKKKZ4w00uXVL306J-KU75tn3ERmEQgSb94f_t-48o_43fByr0Bs3nEqCqVKDMIrONrrai01W-ZjnyaJGdzCTf9eVVid7qpZ6mk8iTsZcKM6dqd95lODH0Zrho-LYuoWUTb00TMqFPoNOgFUB1qsCCsGEqcswOvCA6_cY_UaEPpL-8zS28xJOux_1QBiMiQoe4WUoORiYFMqNolUhgPSN7zaJzYQHLeSKJHIyd2xYufFWFNXi5fuCQ2Fb_uDpNvY0tOo_jaRVNzrN1BoK6A3ZW_qoGMLaKVwyU0XX-tGecYEdFXE_gjFcbcivt2829aRb0f2x6WlyS0PcI-o4SseHmJ2mi6PmuI5Jrtb2VocMpWeudvXJeI5jXJ-VNbqt7OuO7rejbmuZqBj9WazkhAj4jGeWNpNQcMUtjoe_ucKVyJVV4eKXBWilaIY2LNJpz3pViEJRbN3mS584kDURtOBqo_Iq-179NcZ6jZyRvQ4rIJ1HQX5yi2TxnwAqNfwAcOPlDntBGHHewwucTDzOeBKX8JMy_4HZGGhwR99-UV07OqkJ81P9vq7a-HqppMS13zBUZwinFJcAOSNAWovEWu5pfAySJbVVek13jNhkJzykxHXvYWQe4JYNToLwuB2aKFr9o48MJDRdBjuFV7kBAbqmEr58zrADZvNz7L7JOoxG-2y3csEYXjBDyNg5ZbcsB_7WBbMDPpdOQ3tC3fpvoiq72KqogWAacyTYKDDS2C4B7v7L-cpcEVbL-USjI8IjOySkh-yJYh1_lV7HdZEWxjp3AU-swNVSkt-udkxKK7eUD9Yol4GjFxNVcHMqjkNrxLUbKuL978AEAQGee7o1Wf89PrR5eDjibCsjPiQmRKCaFxLlJUFKEtuJOYM97EL8FaFgOe2mkjTPF5Iqnf6-WUctWNYlMDaKw8kIEn6y9tG-oDw5Pl4Vjub8wFagnI3XsFU7M3uL1Z9FtOTq0eGxBt0BDE1IhxTsnhWpTI7gkNICgx2lBx6jKCG-jCaMe_l6fHNRwgay-PlTLlWtzFZ7HZ5Ak5dj7sORFkBajhL9n7HtMGG_ms__qqKDKjf8jXgZPqmECsmW9oJr4XWiuV_SnPT-xjC7kGDCDgp47uat0Z0vXytu90fUoC8Sk5V6hY6qWL05J2gqpuaQCESfIZdwSPBAb0Ppf2mvx0cpKogizs0SyrFrS1hRIo3pIv6q8bjvaB-ZYTFkR5M2qnV2eDCa7rkZdfxtsI59rgonPni07uFkhXNvXFXxNT5mAKEsPhdBDc0ERCGf8QiVtjesWMAA2QfdSxJygA9MBhARxwAROl-hgxTJjHbpNbNUSRYCTAmjkJ13ujN0yr_DEG1LwrnB2sE2BSuB49W8nrnS9tr6FBCeS6e_Dusmnl56iAIAIRbxB_I7n9QZjSYV8Y3gj4dKm1B5wJV22vZRD2f0tMuPM3JacSFS5vHJ3AcchlxAC68eCXXVj0v3p7eQ1SsYnPtVbe4iJoIr9-CpbI60zTPR75SQ9Gs2dt9YhnGSotpHDa9KrU-EPI5jLOq7cUicYM9F8uHA3a6_4KR0Oo_kXWgpQu5LDA0WZArsD2B2dqUfK1LNB7a4mgJ1D42A0uj-XgklaDg-8TcTKugCn2OwcidhiLBh-lupd-zdrh9otl6vCyBiMzfSn_O8c1pNFrMS8HEdaddctkVd5cJ5VrmPKVIthd5Froi0J63iYbQ&pos=5&reqid=kb9dMIn2GnLjrF9r&type=CLICK,,-35%
https://tiki.vn/keo-dan-giay-nhiet-trong-suot-sieu-dinh-dung-khong-ton-thuong-da-p137947175.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303170600_MD_batched_PID.137947185&itm_medium=CPC&itm_source=tiki-reco&spid=137947185,35.000 ₫,-35%
https://tiki.vn/chai-xit-giay-diet-khuan-khu-mui-hoi-giay-hoi-chan-lam-sach-be-mat-giay-dep-nano-xclean-for-shoes-p92161380.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303170600_MD_batched_PID.92161381&itm_medium=CPC&itm_source=tiki-reco&spid=92161381,39.325 ₫,
https://tiki.vn/chai-xit-khu-mui-giay-nano-xclean-nano-bac-100ml-aht-corp-huong-bac-ha-khu-mui-diet-khuan-lam-sach-giay-dep-hieu-qua-an-toan-p105159478.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303170600_MD_batched_PID.105159479&itm_medium=CPC&itm_source=tiki-reco&spid=105159479,64.350 ₫,-30%
https://tiki.vn/giay-the-thao-nu-don-de-sneaker-loai-cao-cap-9cm-ton-chieu-cao-bang-da-pu-sieu-em-sieu-dep-sieu-ben-p180323823.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303170600_MD_batched_PID.180323829&itm_medium=CPC&itm_source=tiki-reco&spid=180323829,239.000 ₫,-39%
https://tiki.vn/sap-lau-giay-dep-tui-xach-ban-ghe-kem-ve-sinh-giay-da-p203937286.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303170600_MD_batched_PID.225907488&itm_medium=CPC&itm_source=tiki-reco&spid=225907488,,-50%
